Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.225510254235504,-0.0799602253337887,-0.134764112436491,0,0,0,8.2631452389305,0.111710709121885,5.64517772747257E-07,-0.000776675804275972,0.126322356921905,2.33319674649524E-05,0.0383568171904764,0,0,0,0,0,0,package://1/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/base_link.STL,,base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip1,0.000524843842896305,-1.04572431609828E-05,-0.0521213967836059,0,0,0,0.486281355446278,0.000539303328803075,-5.82153421305436E-07,9.82844943185934E-07,0.00035957180499802,1.21343063536161E-07,0.000416756667477661,0,0,0,0,0,0,package://1/meshes/hip1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/hip1.STL,,hip_link-1,Origin_hip_joint1,Axis_hip_joint1,hip_joint1,continuous,-0.327361321931163,0.309577126195316,-0.0799999999999881,1.57079632679512,0.00278137345590681,0.0105408250602068,base_link,0,0,1,0,0,0,0,,,,,,,,
shoulder1,-0.0852748778444271,-0.0182885880388109,-0.0507333263439441,0,0,0,0.936110858918405,0.00215368622865265,-3.77969326686884E-06,-7.45623265239244E-06,0.00149939028966098,-0.000508409811126329,0.000895724884187715,0,0,0,0,0,0,package://1/meshes/shoulder1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/shoulder1.STL,,shoulider_link-1,Origin_shoulder_joint1,Axis_shoulder_joint1,shoulder_joint1,continuous,0,0,-0.05,-1.6444,0.0038052,-0.0040962,hip1,0.99999,-0.0038155,0,0,0,0,0,,,,,,,,
knee1,-0.0170800065153688,0.0372597629196983,0.118157410711885,0,0,0,0.395406960453235,0.00282979573506156,-2.64674960443762E-06,-6.99609003341763E-06,0.00243137620147889,-0.000896151269227654,0.000443382463569885,0,0,0,0,0,0,package://1/meshes/knee1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/knee1.STL,,knee_link-1,Origin_knee_joint1,Axis_knee_joint1,knee_joint1,continuous,-0.090832,-0.11356,-0.21494,-1.8176,0.0036999,-0.0047477,shoulder1,0.99999,-0.0038155,0,0,0,0,0,,,,,,,,
hip2,0.000524843938783978,-1.04572609390396E-05,-0.0521250799437635,0,0,0,0.486281355466036,0.000539303328722281,-5.82153499437824E-07,9.82845517843869E-07,0.000359571805002913,1.21343067351598E-07,0.000416756667438753,0,0,0,0,0,0,package://1/meshes/hip2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/hip2.STL,,hip_link-2,Origin_hip_joint2,Axis_hip_joint2,hip_joint2,continuous,-0.127372393904719,0.311681569209403,-0.0799999999999784,-1.57079632679468,0.00621172028300381,-3.13105182852967,base_link,0,0,1,0,0,0,0,,,,,,,,
shoulder2,-0.0552110773447596,-0.0290412065882319,-0.0515179589476509,0,0,0,0.936110686696508,0.00215368607343048,-3.77970221061083E-06,-7.45623286345514E-06,0.00149939009900432,-0.000508409803750789,0.000895724894838695,0,0,0,0,0,0,package://1/meshes/shoulder2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/shoulder2.STL,,shoulider_link-2,Origin_shoulder_joint2,Axis_shoulder_joint2,shoulder_joint2,continuous,-0.030104,0.00011486,-0.06067,2.7011,-0.0016269,-0.0072668,hip2,0.99999,-0.0038155,0,0,0,0,0,,,,,,,,
knee2,0.0173952151853155,0.0371282215465559,0.118157412437666,0,0,0,0.395406956162563,0.0028297955984622,-2.64669149116384E-06,-6.9959669304294E-06,0.00243137607847677,-0.000896151245272041,0.000443382450664489,0,0,0,0,0,0,package://1/meshes/knee2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/knee2.STL,,knee_link-2,Origin_knee_joint2,Axis_knee_joint2,knee_joint2,continuous,-0.0605963519494378,-0.124317174063713,-0.215722610504905,-0.770827618528824,0.00265837513721969,3.14051413999508,shoulder2,0.99999272099745,-0.00381548845054557,0,0,0,0,0,,,,,,,,
hip3,0.000524843859076751,-1.04572465182001E-05,-0.0521198041306667,0,0,0,0.486281355445573,0.000539303328782839,-5.82153434820573E-07,9.82845041621124E-07,0.000359571804995874,1.21343061952056E-07,0.000416756667469108,0,0,0,0,0,0,package://1/meshes/hip3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/hip3.STL,,hip_link-3,Origin_hip_joint3,Axis_hip_joint3,hip_joint3,continuous,-0.12286,-0.11656,-0.08,1.5708,0.0013003,-3.1311,base_link,0,0,1,0,0,0,0,,,,,,,,
shoulder3,-0.085297,-0.023991,-0.060972,0,0,0,0.93611,0.0021537,-3.7797E-06,-7.4562E-06,0.0014994,-0.00050841,0.00089572,0,0,0,0,0,0,package://1/meshes/shoulder3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://1/meshes/shoulder3.STL,,shoulider_link-3,Origin_shoulder_joint3,Axis_shoulder_joint3,shoulder_joint3,continuous,0,0,-0.05,-0.481113979951594,0.0017656930978534,-0.000433137210785791,hip3,0.99999272099745,-0.00381548845054749,0,0,0,0,0,,,,,,,,
knee3,0.0177552809711899,0.0371268457204554,0.118157414670992,0,0,0,0.395406958373625,0.00282979562701449,-2.64668298942631E-06,-6.99594685739382E-06,0.00243137611708942,-0.000896151223497195,0.000443382439816709,0,0,0,0,0,0,package://1/meshes/knee3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://1/meshes/knee3.STL,,knee_link-3,Origin_knee_joint3,Axis_knee_joint3,knee_joint3,continuous,-0.0903218372073121,-0.119268215987857,-0.225177030905708,-0.735833850702106,0.00256098987013537,3.14060547183543,shoulder3,0.99999272099745,-0.00381548845054509,0,0,0,0,0,,,,,,,,
